emotion,wav
neutral,"[ 0.0068517   0.00591304  0.00600692 ... -0.00901885 -0.00950237
 -0.00883781]"
sad,"[-0.0369762  -0.04208988 -0.04612082 ...  0.00660317  0.00693325
  0.00685068]"
angry,"[-0.7925653  -0.59145314 -0.2670702  ... -0.1264763  -0.10534899
 -0.05393057]"
angry,"[ 0.02782613  0.03443386  0.03835538 ... -0.00085006 -0.00160981
 -0.00115702]"
angry,"[ 0.08158235  0.08078072  0.05909145 ... -0.00125177 -0.00100675
 -0.00076733]"
disgust,"[ 0.01452665  0.00486728 -0.00216327 ...  0.01151079  0.01232544
  0.01305476]"
disgust,"[ 0.00952945  0.01081833  0.00679098 ... -0.0061533  -0.00695954
 -0.00702128]"
disgust,[0.02862429 0.02163285 0.01071836 ... 0.01666748 0.01717795 0.0164287 ]
fear,"[-0.05269169 -0.02598806 -0.01832518 ...  0.00616342  0.00405743
  0.00373818]"
fear,[0.00728706 0.00672417 0.00544276 ... 0.0076935  0.00778171 0.00723732]
fear,[0.00227577 0.00236684 0.00155651 ... 0.00158887 0.00137434 0.00129409]
happy,"[ 0.13911371  0.1959658   0.26755792 ... -0.00447252 -0.00059063
  0.00318396]"
happy,[0.01171375 0.01039926 0.00582977 ... 0.00324805 0.00304522 0.00334751]
happy,"[-0.01856955 -0.00784205 -0.00884448 ... -0.00617292 -0.00606185
 -0.00487461]"
neutral,[0.00456272 0.00493046 0.00441311 ... 0.00195401 0.00181496 0.00181167]
sad,"[-0.04524683 -0.09252894 -0.12926997 ...  0.01532251  0.01751907
  0.018159  ]"
sad,"[ 0.00751423  0.00618396  0.00504526 ... -0.00095172 -0.00140052
 -0.0018342 ]"
sad,"[-5.6236545e-03 -2.5263017e-03 -2.2185771e-04 ... -1.0025132e-03
 -4.9345434e-04  1.3893014e-05]"
angry,[0.27702877 0.31631792 0.3286464  ... 0.0350412  0.03852902 0.04441596]
disgust,"[-0.00163416  0.00192483  0.0060355  ...  0.01231405  0.01267143
  0.01371163]"
fear,"[-0.01949293 -0.00520368  0.01027519 ... -0.02982124 -0.02542432
 -0.02064076]"
happy,"[-0.14692508 -0.15243821 -0.16138653 ...  0.03492615  0.03766957
  0.03499066]"
neutral,"[-0.00361798 -0.00209821  0.00348607 ... -0.00666052 -0.00611298
 -0.00496815]"
sad,"[-0.0191828  -0.01101725 -0.00405049 ...  0.00306648  0.00190822
  0.00203267]"
angry,"[ 0.07345075  0.03653251 -0.01296265 ... -0.00789913 -0.00211773
  0.00678872]"
disgust,"[-0.05992329 -0.0172841   0.02360857 ...  0.02437901  0.03137254
  0.04092597]"
fear,[0.0756842  0.06907214 0.04818228 ... 0.2268831  0.273812   0.3271584 ]
happy,[0.11564644 0.12391112 0.1299249  ... 0.01072746 0.01562847 0.01166604]
neutral,"[-0.00019197 -0.00203949 -0.00323146 ... -0.00340101 -0.00311445
 -0.00398791]"
sad,"[-0.02825805 -0.02941565 -0.02897795 ...  0.00478085  0.00309316
  0.00218123]"
angry,"[-0.08401307 -0.09376502 -0.08659406 ...  0.00857488  0.01010204
  0.00795382]"
disgust,"[ 0.11844976  0.14188533  0.15945946 ...  0.0293016  -0.0068746
 -0.0364282 ]"
fear,"[ 0.05278907  0.06221448  0.07344033 ... -0.04395732 -0.05391585
 -0.05853911]"
happy,"[-0.0183603  -0.02712101 -0.03316858 ... -0.01916969 -0.01498519
 -0.00917704]"
neutral,"[-0.03170209 -0.05667948 -0.07607188 ...  0.02248871  0.01897349
  0.01686698]"
sad,"[-0.00264773 -0.00438516 -0.00205606 ...  0.00417295  0.00672217
 -0.00050896]"
angry,"[ 0.10227194  0.09327931  0.08943325 ... -0.0229     -0.02155586
 -0.02039615]"
disgust,"[-9.4421627e-03 -4.3097525e-03 -9.3446841e-05 ... -1.5625991e-01
 -1.4529610e-01 -1.0091013e-01]"
fear,"[ 0.29196563  0.32346454  0.33177522 ... -0.04375774 -0.06241939
 -0.10917446]"
happy,"[ 0.09768142  0.10116008  0.10466506 ... -0.14101924 -0.1488733
 -0.14966942]"
neutral,"[-0.01717912 -0.01945523 -0.02302725 ...  0.0037592   0.00536062
  0.0042078 ]"
sad,"[-0.01455473 -0.00643273  0.00137443 ...  0.00377477  0.00435032
  0.00409094]"
angry,"[-0.10085385 -0.13580322 -0.16719548 ... -0.00112396 -0.00113141
 -0.00091919]"
disgust,[0.00986414 0.00879461 0.00677133 ... 0.03337871 0.03050691 0.02328126]
fear,"[ 0.01114646  0.00045202 -0.0082918  ...  0.00409207  0.00458897
  0.00359423]"
happy,"[ 0.0489171   0.05199206  0.05156151 ... -0.01163907 -0.01516786
 -0.01783094]"
neutral,"[-0.08608868 -0.08101477 -0.0731604  ...  0.00102662  0.00100712
  0.00064375]"
sad,"[-0.05124852 -0.04480652 -0.03844415 ... -0.00789083 -0.00952795
 -0.01209353]"
angry,"[ 0.15900603  0.16050631  0.16198884 ... -0.0035768  -0.00402163
 -0.00434433]"
disgust,"[-0.01642385 -0.01763688 -0.0203853  ...  0.03474342  0.03303552
  0.02546622]"
fear,"[-0.08143732 -0.06658638 -0.045742   ... -0.00162537 -0.00697451
 -0.00272985]"
happy,"[-0.01806138 -0.01431494 -0.00877872 ... -0.05181872 -0.05914517
 -0.06899218]"
neutral,"[ 0.02671382  0.03090853  0.03228148 ... -0.01687464 -0.01670446
 -0.01593841]"
sad,"[-0.00104417  0.00424437  0.00782073 ...  0.02329695  0.0275048
  0.03025756]"
angry,"[-0.1045687  -0.00784692 -0.00228789 ... -0.07830689 -0.06109597
  0.00866147]"
disgust,"[ 0.04595527  0.04159361  0.03778902 ...  0.0162782  -0.00015825
 -0.01968494]"
fear,"[-0.00024635 -0.00065963 -0.00062678 ...  0.03117264  0.00607759
 -0.02324737]"
happy,"[-0.00142928 -0.00049066 -0.0003128  ...  0.00275776  0.0259465
  0.06442304]"
neutral,"[-0.02118402 -0.02216335 -0.02434164 ... -0.00659508 -0.00642753
 -0.00485325]"
sad,"[ 0.04244304  0.04333446  0.04161494 ... -0.00597165 -0.00687559
 -0.00818003]"
angry,"[-0.00417537 -0.01168976  0.00516453 ...  0.11681183  0.12337025
  0.12592208]"
disgust,"[-0.02278573 -0.02330224 -0.02569317 ...  0.00021122 -0.01929201
 -0.03703184]"
fear,[0.01560004 0.01952381 0.02433867 ... 0.14177373 0.16196883 0.17389901]
happy,[0.00501473 0.00540415 0.00359746 ... 0.05980492 0.06085598 0.06044054]
neutral,[0.01360378 0.01164313 0.00797794 ... 0.0036231  0.00207342 0.00092426]
sad,"[ 0.00751493  0.00606372  0.00622989 ...  0.00078689  0.00043636
 -0.00070122]"
angry,"[ 0.16013303  0.01629746 -0.21217345 ...  0.01034201  0.00247734
  0.00586804]"
disgust,"[-0.07906691 -0.10268828 -0.12423628 ... -0.0221784  -0.02033027
 -0.01455713]"
fear,"[-0.3326169  -0.32141724 -0.23102388 ...  0.11875004  0.12785026
  0.1358281 ]"
happy,[0.00597841 0.00627334 0.00633891 ... 0.00818504 0.03017714 0.04590519]
neutral,"[-0.1635112  -0.16283247 -0.13059926 ...  0.05016783  0.04734324
  0.04238232]"
sad,"[-0.00739812 -0.0055789  -0.00844601 ... -0.00978844 -0.00845695
 -0.00539266]"
angry,"[ 0.07875428 -0.13800424 -0.308259   ... -0.01457461 -0.03136651
 -0.04240819]"
disgust,"[ 0.13989295 -0.00503393 -0.1656306  ... -0.01597531  0.01099456
  0.02727957]"
fear,"[ 0.00150269 -0.00053376  0.02474345 ...  0.00207553  0.00552114
 -0.00291413]"
happy,"[ 0.01552369  0.01981248 -0.00919405 ...  0.03356184  0.03386512
  0.03407747]"
neutral,"[-0.02163099  0.00125041  0.00645119 ... -0.00325753 -0.00219666
 -0.00119035]"
sad,"[-0.00012163 -0.00245215 -0.0039359  ...  0.01654721  0.0169554
  0.01717667]"
angry,"[-0.05945871  0.02960755  0.17143482 ...  0.07369858 -0.17687213
 -0.36238322]"
disgust,"[ 0.00041104 -0.00261271 -0.00116781 ...  0.00275723  0.00215544
  0.00189321]"
fear,"[ 0.0059763   0.00530668  0.00485947 ... -0.05507001 -0.06061604
 -0.0619279 ]"
happy,"[-0.02808081 -0.02972219 -0.02816273 ... -0.14153707 -0.13521104
 -0.13084815]"
neutral,"[ 0.00061622 -0.00026453 -0.00147813 ...  0.00424879  0.00454153
  0.00443838]"
sad,[0.01131577 0.00915806 0.00814042 ... 0.03459775 0.03308818 0.03073471]
angry,"[-0.70005304 -0.36608866 -0.04442103 ...  0.03147512  0.188478
  0.17490801]"
angry,"[-0.05682623 -0.05660749 -0.05694024 ... -0.01819018 -0.01854256
 -0.0177174 ]"
angry,[0.01581993 0.02632491 0.03280937 ... 0.05476769 0.03336181 0.0014    ]
disgust,"[-0.04070317 -0.0224976   0.00095597 ... -0.00394399 -0.0014418
 -0.00025714]"
disgust,"[ 0.00552581  0.00438774  0.00250446 ... -0.00580264 -0.00570335
 -0.0046623 ]"
disgust,"[-0.00311843 -0.00208853 -0.00127274 ... -0.0057709  -0.00510388
 -0.00421139]"
fear,"[-0.00687019 -0.00645762 -0.00647577 ...  0.01943147  0.0288613
  0.03617976]"
fear,"[-0.00058988 -0.00100076 -0.00133172 ...  0.00692788  0.00243627
 -0.00108837]"
fear,"[ 0.00414646  0.00406144  0.00386512 ... -0.00275631 -0.00355006
 -0.00458989]"
happy,"[ 0.01680397  0.03361193  0.04526278 ... -0.00978733 -0.01084534
  0.00809581]"
happy,[0.01713802 0.01738742 0.01811686 ... 0.00508687 0.00569625 0.00548808]
happy,[0.00407849 0.00379028 0.00297654 ... 0.01732551 0.01542104 0.01161579]
neutral,"[-0.00227604 -0.00323649 -0.00127323 ...  0.00499836  0.00535561
  0.0054826 ]"
sad,"[ 0.01141974  0.01295372  0.01449229 ... -0.00241811 -0.00531057
 -0.00654877]"
sad,"[-0.00875794 -0.00781418 -0.00768419 ...  0.00040185  0.00077918
  0.00153711]"
sad,"[ 0.00232524  0.00249688  0.00181546 ... -0.0006287   0.00198093
  0.00302896]"
angry,"[-0.00377345 -0.00846913 -0.01334914 ... -0.00462876 -0.00034115
  0.00488361]"
disgust,[0.06386284 0.06303021 0.06013457 ... 0.02646367 0.02586732 0.03279082]
fear,"[-0.01077467 -0.01103318 -0.0106447  ...  0.02760079  0.02806121
  0.02987406]"
happy,"[-0.00525125 -0.00701242 -0.00681784 ... -0.000959   -0.00230474
 -0.00244123]"
neutral,"[ 0.00770427  0.00520366  0.00341129 ... -0.00138067 -0.00191346
 -0.00137269]"
sad,[0.00761689 0.00722081 0.00695839 ... 0.01553932 0.01632089 0.01834619]
angry,"[-0.1424119  -0.09922393 -0.02200706 ...  0.00157675 -0.00101829
 -0.00020598]"
disgust,[0.02974648 0.03338785 0.03153786 ... 0.00114306 0.00129236 0.00221239]
fear,"[-0.29710534 -0.2245555  -0.13817146 ... -0.08406074 -0.08309701
 -0.07949767]"
happy,"[ 0.01963958  0.01502642  0.00863121 ... -0.03934253 -0.03868082
 -0.0452585 ]"
neutral,"[ 0.0197832   0.00991104  0.00282387 ... -0.00223407 -0.00309893
 -0.0017322 ]"
sad,"[-0.02462163 -0.01579516 -0.01238707 ...  0.00406156  0.00510514
  0.00452539]"
angry,"[-0.06283186 -0.07126579 -0.06822124 ...  0.08558202  0.05323781
  0.01290753]"
disgust,"[-0.0280138  -0.02913601 -0.03198192 ...  0.0177026   0.01444364
  0.00997253]"
fear,"[-0.12013263 -0.14505672 -0.16209668 ... -0.02102637 -0.01156867
 -0.0057514 ]"
happy,"[ 0.00960036  0.01797221  0.02530237 ... -0.01260237 -0.01364298
 -0.01553169]"
neutral,"[-0.00302727 -0.01568118 -0.0021639  ...  0.0053153   0.00345181
  0.00170253]"
sad,[0.01218478 0.01453225 0.01444047 ... 0.00334807 0.00111534 0.00018475]
angry,"[-0.03710508 -0.04252917 -0.03105004 ... -0.45545912 -0.4464398
 -0.42556778]"
disgust,[0.0128919  0.02093332 0.023504   ... 0.00128589 0.00238474 0.00318177]
fear,"[ 0.05978542  0.06769281  0.07672033 ... -0.03945031 -0.0379588
 -0.0354191 ]"
happy,[0.02726346 0.02529211 0.02317    ... 0.0027617  0.00254659 0.00402546]
neutral,"[-0.00477605 -0.00945154 -0.0131564  ...  0.00860134  0.00819641
  0.00777305]"
sad,"[-0.02744146 -0.02897609 -0.02971078 ...  0.01263862  0.01597931
  0.02066592]"
angry,[0.02901936 0.02661602 0.02684465 ... 0.00332274 0.00347059 0.00406716]
disgust,"[-0.00847539 -0.00565309 -0.00408953 ... -0.00750102 -0.00621528
 -0.00448932]"
fear,[0.00603298 0.00948216 0.01249325 ... 0.02061219 0.02482273 0.03008865]
happy,"[ 0.00680487  0.0044837   0.0048714  ... -0.06212333 -0.01177787
  0.00719467]"
neutral,"[ 2.3937870e-02  2.4040738e-02  2.2964131e-02 ... -7.7254610e-04
 -9.0595859e-05  6.2771454e-05]"
sad,"[-0.00185063 -0.00228802 -0.00340321 ...  0.00533901  0.00694076
  0.00783391]"
angry,"[ 0.02797788  0.09580273  0.14753166 ... -0.01890172  0.00262202
  0.0231701 ]"
disgust,"[ 0.01678679  0.01780772  0.01846484 ... -0.00015471  0.00174441
  0.00310357]"
fear,[0.01340117 0.02053322 0.01931908 ... 0.00989594 0.00690569 0.0050546 ]
happy,"[-0.00404278 -0.00545362 -0.00380146 ... -0.00243743 -0.00020753
  0.00321787]"
neutral,"[-0.04140306 -0.04381344 -0.03918023 ...  0.02015402  0.02468929
  0.02797036]"
sad,"[-0.01985918 -0.0177907  -0.01589119 ... -0.00544933 -0.00667411
 -0.00856239]"
angry,"[-0.09150971 -0.0900008  -0.08428726 ... -0.00723343  0.03040461
  0.06032029]"
disgust,[0.05608572 0.07754398 0.09557009 ... 0.07399985 0.06059935 0.04362236]
fear,"[ 0.04187189  0.00805706 -0.02449223 ... -0.06373987 -0.06839191
 -0.06992143]"
happy,[0.00435389 0.00565173 0.00737173 ... 0.0303669  0.03286458 0.03823375]
neutral,"[-0.00069697 -0.00071724 -0.0015945  ...  0.01061276  0.00943111
  0.01639201]"
sad,"[-0.00792853 -0.00879292 -0.01005676 ...  0.01041788  0.00804771
  0.00770609]"
angry,"[-0.01856881 -0.00583944 -0.01211626 ... -0.05675317 -0.10228359
 -0.12737308]"
disgust,[0.01285909 0.01134857 0.00833379 ... 0.07020877 0.08715554 0.09000558]
fear,"[-0.0796648  -0.08661947 -0.08578192 ...  0.06256092  0.05187524
  0.04201331]"
happy,"[ 0.01330906  0.00608809  0.00038047 ... -0.0211648  -0.02004001
 -0.01820694]"
neutral,[0.00130386 0.00064147 0.00342998 ... 0.01008879 0.01024845 0.01020717]
sad,"[ 0.01159597  0.01257845  0.01243448 ... -0.00325033 -0.00345262
 -0.00283892]"
angry,"[-0.0646965  -0.28033227 -0.4567731  ...  0.03696185  0.06415802
  0.1226374 ]"
disgust,[0.00386175 0.00384422 0.00479431 ... 0.04063519 0.03837772 0.0343485 ]
fear,[0.12811968 0.13751091 0.116514   ... 0.0002812  0.00062088 0.00110002]
happy,"[-2.5395465e-03  7.9472986e-05 -8.4070041e-04 ... -2.2452069e-02
 -2.1012219e-02 -2.0751132e-02]"
neutral,"[-0.03237807 -0.03472676 -0.03611591 ...  0.00286721  0.00237555
  0.00133576]"
sad,"[ 0.00638857  0.00273315  0.00224898 ... -0.0021168  -0.00088954
 -0.00054479]"
angry,"[-0.00596745 -0.43774298 -0.632484   ...  0.17250934  0.16085306
  0.14986715]"
disgust,"[ 0.02803022  0.06090836  0.05284564 ... -0.01437019 -0.01380364
 -0.0099997 ]"
fear,"[ 0.00194036 -0.00011914  0.00523669 ... -0.0055777   0.01631457
  0.05121475]"
happy,"[-0.00472702 -0.00474224 -0.00374334 ... -0.0136712   0.01532311
  0.03637943]"
neutral,"[ 0.06977884  0.06633554  0.05541598 ... -0.00197246 -0.00212269
 -0.00168628]"
sad,"[ 0.01042783  0.01018113  0.00954319 ... -0.00255331 -0.00167872
 -0.00055397]"
angry,[0.00795455 0.00726888 0.01005923 ... 0.00953589 0.00652002 0.00356847]
disgust,"[-0.00929075 -0.00968153 -0.00970443 ... -0.01541059 -0.00867658
  0.00133318]"
fear,"[-0.01079629 -0.0111418  -0.01256042 ... -0.05828555 -0.05295153
 -0.0482283 ]"
happy,"[-0.00353975 -0.00300801 -0.00545362 ... -0.00060976 -0.00046045
 -0.00097479]"
neutral,"[-0.01294948 -0.01315206 -0.01487535 ...  0.004139    0.00423087
  0.0040334 ]"
sad,"[-4.5654877e-05  2.2616608e-03  4.5027370e-03 ... -1.4788965e-03
 -9.3061471e-04 -9.7083015e-04]"
angry,"[ 0.11147605 -0.0055738  -0.01543998 ... -0.13942936 -0.10846318
  0.04648735]"
angry,"[-0.00168291 -0.00272686 -0.00188134 ...  0.00402747  0.00346986
  0.00360191]"
angry,"[-0.04900363 -0.06908678 -0.093486   ...  0.00068034  0.0011597
  0.00131401]"
disgust,[0.00588772 0.00779645 0.00828206 ... 0.0013031  0.00085326 0.00090806]
disgust,"[ 0.00042005  0.00454418  0.00107212 ... -0.00456482 -0.00465634
 -0.00376593]"
disgust,"[-0.01953967 -0.01375791 -0.00810929 ... -0.01288529 -0.01206256
 -0.01310758]"
fear,"[-0.14024398 -0.21639243 -0.2784034  ... -0.13520814 -0.19472146
 -0.22634648]"
fear,"[-5.6166220e-03 -5.6252577e-03 -5.7423431e-03 ... -1.8190567e-03
 -5.7185287e-05  1.8865438e-03]"
fear,"[-0.01116975 -0.01154722 -0.01206771 ... -0.00096617 -0.00133565
 -0.00144932]"
happy,"[ 0.00398503  0.00721175  0.00411237 ... -0.00315359 -0.00337048
 -0.00343461]"
happy,"[ 0.02463906  0.03387268  0.03731975 ... -0.00557082 -0.0052373
 -0.00410907]"
happy,"[ 0.01799454  0.01410757  0.0102413  ... -0.0056178  -0.00642208
 -0.00776238]"
neutral,"[ 0.01288742  0.01276621  0.01273707 ... -0.00546205 -0.00460673
 -0.00420862]"
sad,"[-0.00843347 -0.00951166 -0.00898609 ...  0.00733857  0.00570696
  0.00483554]"
sad,[0.001597   0.00167555 0.00123492 ... 0.00272961 0.00227926 0.00249557]
sad,"[-0.0057419  -0.00551127 -0.00563462 ...  0.00123487  0.00010454
 -0.00139952]"
angry,[0.0131044  0.01402166 0.0146671  ... 0.01445234 0.01998384 0.03696933]
disgust,[0.00198377 0.00243077 0.00532281 ... 0.01083477 0.00637615 0.00252053]
fear,"[-0.00243572 -0.00197474 -0.00158322 ... -0.01721152 -0.01945355
 -0.0195207 ]"
happy,"[-0.0097623  -0.00961773 -0.01016431 ...  0.00193335  0.00278724
  0.00271288]"
neutral,[0.04112599 0.04951605 0.04093274 ... 0.00175797 0.00216791 0.00190092]
sad,"[ 0.0033827   0.00196445  0.00159751 ... -0.00464941 -0.00267286
 -0.00140527]"
angry,"[ 0.15055741  0.14138386  0.12121364 ... -0.0101287  -0.00622737
 -0.00231218]"
disgust,"[-0.00941709 -0.01346331 -0.01056371 ... -0.00415629 -0.00421891
 -0.00285155]"
fear,[0.01703307 0.01855694 0.01755485 ... 0.02269574 0.0248925  0.02645336]
happy,"[ 0.02995148  0.02793439  0.0350968  ... -0.00230719 -0.00034147
  0.00176709]"
neutral,[0.02709061 0.04045962 0.04905842 ... 0.01233418 0.01337223 0.01445561]
sad,"[-0.01862632 -0.01242908 -0.00184919 ...  0.00125513 -0.00140016
 -0.00314356]"
angry,[0.02936962 0.02768028 0.02715819 ... 0.00337824 0.0040153  0.00355997]
disgust,"[-0.00981529 -0.00846759 -0.00962629 ... -0.02890474 -0.02840379
 -0.02750515]"
fear,[0.00155832 0.00186208 0.00154654 ... 0.04401689 0.04404769 0.04319967]
happy,[0.04345598 0.04134624 0.03796121 ... 0.00286074 0.00252689 0.00208133]
neutral,"[-0.01105138 -0.01233919 -0.01250387 ... -0.00238465 -0.00184315
 -0.00159794]"
sad,"[-0.04121397 -0.03954019 -0.03777454 ...  0.01443507  0.01444069
  0.01421613]"
angry,"[-0.09665698 -0.12039626 -0.13137475 ...  0.03466539  0.03934272
  0.04803075]"
disgust,"[-0.00876325 -0.01194809 -0.01729523 ...  0.01038958  0.00382994
 -0.0022523 ]"
fear,"[ 0.03272744  0.03173319  0.02982143 ... -0.00252268 -0.00249474
 -0.00506766]"
happy,"[-0.01362695 -0.01552254 -0.00610861 ... -0.00614204 -0.00734034
 -0.0065781 ]"
neutral,"[ 0.01917176  0.0214237   0.02696209 ... -0.02289064 -0.02106767
 -0.01873385]"
sad,"[-0.00159344 -0.00013513  0.00090409 ... -0.00181161 -0.00316174
 -0.00434487]"
angry,"[-0.01635888 -0.01756262 -0.02020231 ...  0.01278093  0.0061222
 -0.00048088]"
disgust,"[ 0.01792725  0.02677394  0.03500826 ... -0.00370311 -0.00406158
 -0.00374098]"
fear,"[ 0.00778738  0.0091325   0.00907331 ... -0.00130444 -0.00196378
 -0.00370375]"
happy,"[-0.00843065 -0.00610421 -0.00357508 ... -0.00515738 -0.00513438
 -0.00468126]"
neutral,"[-0.01490942 -0.01398756 -0.01065202 ...  0.01536041  0.01894371
  0.02198359]"
sad,"[-0.00273821 -0.00325356 -0.00386523 ...  0.00190624  0.0016436
  0.00114429]"
angry,"[ 0.01505691  0.01777882  0.01890859 ... -0.02718584 -0.02633333
 -0.0266473 ]"
disgust,"[-0.01137945 -0.00720825 -0.00215596 ...  0.02247958  0.02199348
  0.02165345]"
fear,"[ 0.02790346  0.02755286  0.02665811 ... -0.0109712  -0.01071419
 -0.00985635]"
happy,[0.00794368 0.00619771 0.00740799 ... 0.05210794 0.04627074 0.03987234]
neutral,[0.01335099 0.015222   0.01957057 ... 0.00437082 0.00454646 0.00456   ]
sad,"[ 0.04038896  0.04151506  0.0408524  ... -0.00119879 -0.00136329
 -0.00047185]"
angry,[0.05321152 0.04462987 0.02854688 ... 0.04716439 0.05361107 0.0638267 ]
disgust,"[-0.02976557 -0.02882716 -0.02444718 ... -0.00285884 -0.00167788
 -0.00077882]"
fear,"[-0.00212766 -0.00598759 -0.00985985 ... -0.03495784 -0.03953649
 -0.04467167]"
happy,"[ 0.00916661  0.00886952  0.00839876 ... -0.00073387 -0.00097609
 -0.00105049]"
neutral,"[-0.0287606  -0.03308944 -0.03537734 ... -0.00647018 -0.00784828
 -0.00870879]"
sad,"[-0.0027002  -0.00307875 -0.00327867 ...  0.01108128  0.00730527
  0.0042764 ]"
angry,"[-0.00566674 -0.00940178 -0.01399443 ... -0.00369505 -0.00444688
 -0.00416273]"
disgust,"[-0.01039721 -0.00916357 -0.00955086 ... -0.00053509 -0.00048579
 -0.00132213]"
fear,"[-0.00656404 -0.00575885 -0.00460446 ...  0.00203281  0.00185681
  0.00122546]"
happy,"[-0.01502975 -0.02240209 -0.01915502 ... -0.00133616 -0.00149591
 -0.00134086]"
neutral,"[ 0.01396468  0.00975697  0.0048219  ... -0.00547943 -0.00608739
 -0.00702001]"
sad,"[ 0.01213686  0.01418843  0.01472889 ... -0.00569095 -0.00659864
 -0.00742928]"
angry,"[-0.01026331 -0.01976479  0.00230386 ... -0.00917899 -0.00962176
 -0.00954506]"
disgust,"[-0.0049168  -0.01396826 -0.020381   ... -0.00432815 -0.00440377
 -0.00455451]"
fear,[0.05113486 0.0486028  0.05146172 ... 0.00515824 0.00521847 0.00529452]
happy,"[ 0.00773694 -0.00527661  0.00341001 ... -0.00600095 -0.00040424
  0.00314785]"
neutral,"[ 0.01928228  0.01900822  0.02713999 ... -0.01203065 -0.01288474
 -0.01308793]"
sad,[0.00544661 0.00351104 0.00152573 ... 0.00657283 0.0076437  0.00870259]
angry,"[-0.01331636  0.01427467  0.01572341 ... -0.01735068 -0.01146424
 -0.00292218]"
disgust,"[-0.00618909 -0.00689177 -0.00914131 ... -0.01367526 -0.01159201
 -0.01347773]"
fear,"[-0.01774777 -0.0130628  -0.00749777 ... -0.03141506 -0.02704783
 -0.02176495]"
happy,"[ 0.02391767  0.02445142  0.01264015 ... -0.00655888 -0.01256954
 -0.00416197]"
neutral,[0.00754252 0.01059452 0.01256361 ... 0.00591645 0.00544367 0.00448031]
sad,"[-0.05205192 -0.05936346 -0.0643004  ... -0.01399846 -0.01472528
 -0.01665207]"
angry,[0.04009908 0.0375159  0.03749543 ... 0.03218276 0.03655757 0.03383131]
disgust,[0.00076668 0.00137313 0.00072763 ... 0.00957422 0.00961667 0.00875   ]
fear,"[ 0.0024999   0.00303757 -0.00025217 ...  0.00347576  0.00430572
  0.00416663]"
happy,"[-0.01048879 -0.01029824 -0.00992291 ... -0.02163359 -0.02181593
 -0.02196829]"
neutral,"[ 7.5155619e-04 -2.9348629e-04 -4.7577490e-05 ... -3.7366883e-03
 -3.2093448e-03 -3.8735715e-03]"
sad,"[-0.00402522 -0.00309144 -0.0025902  ...  0.00425029  0.00382115
  0.00399464]"
angry,"[-0.06707272 -0.02665951 -0.0021709  ... -0.38849443 -0.6948381
 -0.74782205]"
angry,[0.13975431 0.15388957 0.16683763 ... 0.46401232 0.45652318 0.4208531 ]
angry,"[ 0.02472856  0.04357433 -0.04600024 ...  0.02427324  0.0281569
  0.032206  ]"
disgust,"[ 0.00854878  0.00831282  0.00431537 ... -0.11984439 -0.12771675
 -0.1242638 ]"
disgust,[0.02035094 0.02065808 0.02072087 ... 0.01457237 0.02137463 0.02551918]
disgust,"[-0.00291496  0.00461361 -0.00834447 ... -0.02496829 -0.02472941
 -0.02514352]"
fear,"[-0.00524512 -0.00607442 -0.00415556 ... -0.22133239 -0.2380104
 -0.22649089]"
fear,"[-0.01940851 -0.02217074 -0.02473918 ... -0.00195942 -0.00142557
 -0.00081659]"
fear,"[ 0.00615522  0.00660917  0.00702772 ... -0.00331427 -0.00357588
 -0.00506419]"
happy,[0.03437669 0.03144728 0.02453564 ... 0.02005757 0.01865201 0.01763177]
happy,"[ 8.8050347e-06 -1.5372832e-04 -3.5819912e-04 ...  4.9576088e-04
  8.1274490e-04  2.3037067e-03]"
happy,"[-0.002131   -0.00282984 -0.00320642 ...  0.01084293  0.00974217
  0.00800561]"
neutral,"[-0.00446586 -0.0041923  -0.00413294 ...  0.00155008  0.00130126
  0.00092014]"
sad,"[-0.00133174 -0.001806   -0.00245183 ... -0.00054725  0.00250565
  0.00414934]"
sad,"[-0.0045793  -0.00249875 -0.00178234 ...  0.00171257  0.00324492
  0.00418305]"
sad,[0.00214256 0.00190005 0.0007312  ... 0.00591561 0.00593624 0.00571315]
angry,"[-0.04540769 -0.03533275 -0.02033324 ... -0.01932976 -0.01636009
 -0.01274257]"
disgust,"[ 0.00024971  0.00907669  0.01939333 ... -0.00142167 -0.00138219
 -0.00123455]"
fear,"[-0.00463391 -0.00427047 -0.00335106 ...  0.0003647   0.00057053
  0.00177852]"
happy,[0.0253816  0.033686   0.0434688  ... 0.02511032 0.02441251 0.02847084]
neutral,[0.02043913 0.03281582 0.0422578  ... 0.00963396 0.01008543 0.00951664]
sad,[0.01500749 0.01596007 0.015553   ... 0.01371511 0.01443044 0.01435388]
angry,"[-0.08427659 -0.0713522  -0.05858209 ...  0.00773429  0.01322162
  0.01728443]"
disgust,"[ 0.00076524  0.00360355  0.00499001 ... -0.00146686 -0.00124604
  0.00139919]"
fear,"[-0.01840542 -0.01693163 -0.01897289 ...  0.00643357  0.00748715
  0.00617868]"
happy,"[-0.00429256 -0.00530616  0.00479946 ...  0.00777659  0.00545617
  0.00326777]"
neutral,"[-0.08395547 -0.06312676 -0.04657826 ... -0.00661401 -0.00594178
 -0.00523416]"
sad,"[ 0.00134472  0.00122277  0.0014885  ... -0.03108972 -0.02947371
 -0.01678745]"
angry,[0.02786061 0.02534339 0.02180941 ... 0.00626194 0.00548918 0.00615243]
